Region/Country/Economy,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Kosovo,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyrgyzstan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.569492,3.586153,3.591859,2.674354,1.703583,1.739633,2.074584,1.706663,2.00415,1.181264,1.347578,1.377115,1.74554,1.440177,1.572713,1.235086,1.301834,1.320818,1.260685,0.501416,0.465972,0.562054,0.670861,0.561499,0.46991,0.504799,0.548069,0.564759,0.600667
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.544064,0.686741
Republic of Moldova,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.633078,7.691495,6.758793,6.741778,6.585108,6.465699,5.353051,5.662352,5.311043,5.217333,4.834518,5.110244,4.947969,5.157603,5.254343,5.466956,5.242478,5.205923,4.940699,4.931712,5.33033,5.204257,5.169267,3.946904,4.68113,4.88102,4.941255,4.537789,4.928566
Montenegro,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Republic of North Macedonia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0.040796,0.077805,0.127083,0.169192,0.174897,0.156065,0.137333,0.147229,0.157075,0.199991,0.226953,0.150057,0.222711,0.257499,0.267951,0.30289,0.260175,0.261791,0.412503,0.531004,0.489147
Romania,52.344801,53.135676,56.14276,57.947928,62.95997,69.396687,73.512481,75.991742,73.23524,76.054299,79.916733,81.277641,80.936934,80.634196,74.974015,76.32028,74.94781,75.179509,75.426809,67.735617,55.895611,44.078073,41.781636,40.976321,42.349951,42.030855,35.876982,33.17809,29.52635,29.530037,28.299999,29.654444,32.101895,30.08583,28.719166,29.939964,26.769091,26.406422,22.142339,22.607655,22.880251,22.169099,21.092904,19.927898,19.833987,19.878721,20.970257,21.461736
Russian Federation,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,837.64349,863.288775,819.968606,793.13398,743.856396,709.590449,709.583784,678.842594,677.586958,689.351835,695.259317,701.923189,712.004376,745.697968,751.223543,753.814741,774.583903,787.150309,788.45598,747.573419,802.769592,826.590724,819.586044,813.748945,806.834693,765.439558,773.475395,795.699686,838.039826
Serbia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.078188,5.877894,4.78216,2.980475,2.487996,2.84804,4.039755,4.46483,4.159063,3.006124,3.182031,3.528443,3.548639,3.710863,4.712888,3.964071,3.75787,4.604133,4.318007,3.081708,3.80634,3.927769,3.878591,4.102312,3.285435,3.539348,3.61271,4.11506,4.3082
Tajikistan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.258524,3.259786,3.434128,2.729389,1.525303,1.198532,1.241196,1.479256,1.516467,1.527424,1.472894,1.180961,0.994603,1.08089,1.259069,1.26124,1.263058,1.269672,1.015152,0.454511,0.377564,0.380846,0.276483,0.00727,0.00616,0.007876,0.00616,0.002277,0.111492
Turkmenistan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28.7793,25.881376,12.948413,18.395728,24.986189,26.323466,21.284615,21.722565,20.564729,25.164065,25.607417,26.780047,27.16261,30.146822,31.695905,33.474567,34.908938,40.896042,41.12981,35.405557,40.730485,44.845269,46.253283,47.488218,48.182809,50.146769,50.146769,50.146769,50.146769
